val_r2_score,test_r2_score,train_r2_score,alpha,ccp_alpha,criterion,init,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,random_state,subsample,tol,validation_fraction,verbose,warm_start
0.6147229492396455,0.6448833860187367,0.6411963746678992,0.9,0.0,squared_error,,0.060530486050514073,quantile,4,,,0.0,14,2,0.0,70,,,0.5132526855090634,0.0001,0.1,0,False
0.9889136534936913,0.9917220870086605,0.9827540745694806,0.9,0.0,squared_error,,0.5108063765495114,quantile,4,,,0.0,49,2,0.0,439,,,0.9340457156163555,0.0001,0.1,0,False
0.9642358362693807,0.9691487482748006,0.9649245334554004,0.9,0.0,squared_error,,0.01912137161311389,squared_error,4,,5,0.0,2,2,0.0,130,,,0.9156786986009868,0.0001,0.1,0,False
0.9945204501984282,0.9970578447436717,0.998632044443588,0.9,0.0,friedman_mse,,0.1,squared_error,3,,,0.0,1,2,0.0,100,,,1.0,0.0001,0.1,0,False
0.9779524299402466,0.978327689201969,0.9761942418687415,0.9,0.0,squared_error,,0.16284726744338518,quantile,2,,15,0.0,6,2,0.0,538,,,0.5532345018755898,0.0001,0.1,0,False
0.9325410627985428,0.9413473843144791,0.9296404861680982,0.9,0.0,squared_error,,1.4209835602528735,quantile,4,,,0.0,46,2,0.0,13,,,0.8939540535083506,0.0001,0.1,0,False
0.9928290088431173,0.9965714733418725,0.9952780327321801,0.9,0.0,squared_error,,0.5888016912587156,huber,4,,,0.0,3,2,0.0,35,,,0.5909746353019991,0.0001,0.1,0,False
0.9740930085426072,0.9809854917636535,0.9790856038237219,0.9,0.0,squared_error,,0.012614864376010546,squared_error,4,,,0.0,6,2,0.0,189,,,0.9452934376644189,0.0001,0.1,0,False
0.9859328325601453,0.9938706173396645,0.9907159490433903,0.9,0.0,friedman_mse,,0.7686572904108675,huber,4,,,0.0,2,2,0.0,16,,,0.87226403671565,0.0001,0.1,0,False
0.9965652530365583,0.9973166231262091,0.9973883280538494,0.9,0.0,squared_error,,0.039517055808167216,squared_error,4,,,0.0,5,2,0.0,243,,,0.7683135636974004,0.0001,0.1,0,False
0.9258473986579924,0.9266024481332619,0.9063452505942557,0.9,0.0,squared_error,,1.3669264316470546,quantile,4,,15,0.0,23,2,0.0,18,,,0.8932963094075254,0.0001,0.1,0,False
0.9946071709439216,0.9961023101827162,0.9988409788599978,0.9,0.0,squared_error,,0.029944127326559725,squared_error,5,,,0.0,6,2,0.0,540,,,0.9721548838215992,0.0001,0.1,0,False
