val_r2_score,test_r2_score,train_r2_score,alpha,ccp_alpha,criterion,init,learning_rate,loss,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_iter_no_change,random_state,subsample,tol,validation_fraction,verbose,warm_start
0.9789840213358048,0.9749850158828707,0.9883471113966261,0.9,0.0,friedman_mse,,0.1,squared_error,3,,,0.0,1,2,0.0,100,,,1.0,0.0001,0.1,0,False
-1.5712839944135486e+48,-1.7519825427805736e+48,-1.671357859884302e+48,0.9,0.0,squared_error,,3.602055112033336,huber,,,10,0.0,26,2,0.0,58,,,0.8328132784790456,0.0001,0.1,0,False
0.9736303564569467,0.9750854675709656,0.9832142167176244,0.9,0.0,friedman_mse,,0.023730432244486236,huber,4,,,0.0,5,2,0.0,202,,,0.61031654829078,0.0001,0.1,0,False
0.9127575953278722,0.9221755403732446,0.9201373577455481,0.9,0.0,squared_error,,0.09681943258138416,huber,2,,,0.0,33,3,0.0,23,,,0.9050885289585371,0.0001,0.1,0,False
0.9668752875141476,0.9695964700464508,0.9806254919379754,0.9,0.0,friedman_mse,,0.19618842801241185,huber,4,,,0.0,44,2,0.0,378,,,0.8039826618593792,0.0001,0.1,0,False
-0.207878076176516,-0.24196434428228852,-0.23948426250262833,0.9,0.0,friedman_mse,,8.786029269231772,quantile,,,,0.02,33,2,0.0,98,,,0.5987333586352381,0.0001,0.1,0,False
0.9787107234712477,0.9759902924232857,0.9878684436563636,0.9,0.0,squared_error,,0.02054434086668382,squared_error,4,,,0.0,12,2,0.0,529,,,0.8366966041731805,0.0001,0.1,0,False
-0.08587915910866029,-0.10955439667904243,-0.11046370649844683,0.9,0.0,friedman_mse,,0.018200060389050903,quantile,4,,,0.0,35,2,0.0,15,,,0.9764105124128583,0.0001,0.1,0,False
0.9738539755884048,0.9776079281372297,0.9841216348112732,0.9,0.0,friedman_mse,,0.15311690473736397,squared_error,4,,,0.02,25,2,0.0,105,,,0.5042947340600015,0.0001,0.1,0,False
0.9234526367473004,0.9310643751734196,0.9315700466394903,0.9,0.0,squared_error,,0.01296052738557915,huber,2,,10,0.0,12,2,0.0,336,,,0.9245561740750019,0.0001,0.1,0,False
0.9709436186989139,0.9752773792084519,0.9808815710394237,0.9,0.0,friedman_mse,,1.0062061635762667,huber,4,,15,0.0,27,2,0.0,18,,,0.6908013452949209,0.0001,0.1,0,False
-0.207878076176516,-0.24196434428228852,-0.23948426250262833,0.9,0.0,squared_error,,4.162788672201031,quantile,,,,0.02,2,3,0.0,32,,,0.6355995978216453,0.0001,0.1,0,False
0.9714624737619627,0.9740333120004432,0.9812546145016443,0.9,0.0,friedman_mse,,1.1767950427837464,huber,3,,,0.0,9,2,0.0,36,,,0.5177325165191299,0.0001,0.1,0,False
0.9644800250123392,0.9673927442490236,0.9744160934594416,0.9,0.0,squared_error,,0.010914886091761665,huber,4,,,0.0,4,2,0.0,240,,,0.9687365261745327,0.0001,0.1,0,False
-1.2962936623344358e+65,-1.4471352945809093e+65,-1.3810841457558017e+65,0.9,0.0,squared_error,,2.1908385372699453,huber,4,,,0.0,20,2,0.0,429,,,0.5541888984882147,0.0001,0.1,0,False
0.7935642197355222,0.8116295303110611,0.8026583457415666,0.9,0.0,squared_error,,0.3438928010037169,squared_error,4,,,0.05,3,2,0.0,146,,,0.9732343659911398,0.0001,0.1,0,False
0.9692568838391356,0.9730352816132665,0.9834313363991131,0.9,0.0,friedman_mse,,1.6363815393109868,huber,,,10,0.0,3,2,0.0,319,,,0.9057032560542261,0.0001,0.1,0,False
0.9689233371800743,0.9738070555447148,0.9807116725617853,0.9,0.0,squared_error,,0.04452629866283979,huber,4,,10,0.0,24,2,0.0,108,,,0.5018727622066638,0.0001,0.1,0,False
0.968998395710214,0.9736975522046487,0.9807417323642122,0.9,0.0,friedman_mse,,0.4328451275104498,huber,2,,,0.01,2,2,0.0,102,,,0.9862676873716926,0.0001,0.1,0,False
-0.207878076176516,-0.24196434428228852,-0.23948426250262833,0.9,0.0,friedman_mse,,2.448522895530383,quantile,,,,0.01,3,2,0.0,792,,,0.8406757848127138,0.0001,0.1,0,False
0.9287768336350096,0.9320624893478806,0.941356054033384,0.9,0.0,squared_error,,0.7348755143260046,squared_error,2,,,0.02,2,2,0.0,27,,,0.6495574604250046,0.0001,0.1,0,False
0.9798286953952404,0.9673228901037242,0.9936886211437407,0.9,0.0,friedman_mse,,0.6724307497109109,squared_error,4,,,0.0,18,3,0.0,952,,,0.9907400425080835,0.0001,0.1,0,False
-2.6903781064582948e+16,-2.9216535398217892e+16,-2.8370653785000052e+16,0.9,0.0,friedman_mse,,3.5765511771678455,squared_error,,,,0.0,2,2,0.0,20,,,0.7064278817795997,0.0001,0.1,0,False
-inf,-inf,-inf,0.9,0.0,friedman_mse,,6.942951380472568,squared_error,,,,0.0,3,2,0.0,304,,,0.6020528237487252,0.0001,0.1,0,False
-2627.7575005813387,-2458.701024643385,-2369.218384560511,0.9,0.0,friedman_mse,,4.2462085460174475,quantile,2,,,0.0,15,2,0.0,13,,,0.6487844539839371,0.0001,0.1,0,False
0.9754101665592435,0.9746209437687793,0.982763378423432,0.9,0.0,squared_error,,0.446702201401308,huber,4,,10,0.0,12,2,0.0,122,,,0.6689554502491403,0.0001,0.1,0,False
0.24098366956211148,0.2363407653067099,0.22813164367895378,0.9,0.0,squared_error,,0.016187919254442486,huber,3,,,0.0,8,2,0.0,16,,,0.5376233696512884,0.0001,0.1,0,False
