val_r2_score,test_r2_score,train_r2_score,bootstrap,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,max_samples,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,n_estimators,n_jobs,oob_score,random_state,verbose,warm_start
0.9808440678668136,0.9668406727108335,0.9928188280004943,True,0.0,squared_error,,1.0,,,0.0,1,2,0.0,100,,False,,0,False
0.006360752905058109,-0.01970913202671354,-0.022206750957464383,True,0.0,absolute_error,,0.2,,,0.05,31,2,0.0,13,,False,,0,False
0.7737613455923503,0.7900976428330688,0.7782883239265863,False,0.0,absolute_error,4,sqrt,,,0.0,2,2,0.0,266,,False,,0,False
0.5312792045214557,0.5475472881965838,0.5236016647386811,False,0.0,absolute_error,2,sqrt,,,0.0,17,2,0.0,36,,False,,0,False
0.8138409979091265,0.8360078085723172,0.826210294485543,False,0.0,friedman_mse,2,0.7,,,0.0,24,2,0.0,24,,False,,0,False
0.6111328315475699,0.6483902048291199,0.6302578399118144,False,0.0,squared_error,2,0.4,,,0.0,4,2,0.0,33,,False,,0,False
0.6735489157496213,0.6926410741344338,0.6749954129731484,False,0.0,absolute_error,3,0.4,,,0.0,8,2,0.0,331,,False,,0,False
0.551444221679244,0.5924364972513585,0.571440563044046,False,0.0,squared_error,2,0.3,,,0.0,21,2,0.0,232,,False,,0,False
0.5956701189585465,0.6338829614048423,0.6138377164443429,True,0.0,friedman_mse,2,sqrt,,,0.0,15,2,0.0,1018,,False,,0,False
0.5981472404860224,0.6322147341930422,0.6129185570235014,True,0.0,squared_error,2,log2,,,0.0,10,3,0.0,122,,False,,0,False
0.8955550805049654,0.9059248061491151,0.9094706101401455,True,0.0,squared_error,2,0.8,,,0.0,2,2,0.0,577,,False,,0,False
0.7155160753479068,0.7480558852924126,0.7332495592022417,True,0.0,friedman_mse,3,log2,,,0.0,8,2,0.0,695,,False,,0,False
0.8157275161516875,0.8338294919444872,0.8269519107030263,True,0.0,friedman_mse,4,sqrt,,,0.0,3,3,0.0,46,,False,,0,False
-0.03865285468450552,-0.062118961159732144,-0.06300348883225126,True,0.0,absolute_error,2,0.1,,,0.01,7,2,0.0,190,,False,,0,False
0.8975998951669524,0.9134988356839524,0.9127641456555267,False,0.0,friedman_mse,,sqrt,,,0.0,16,2,0.0,2845,,False,,0,False
0.5363280071821235,0.5786526651066171,0.5577199489547571,False,0.0,friedman_mse,3,0.1,,,0.0,32,2,0.0,158,,False,,0,False
0.9620768670953662,0.964584098892595,0.9753579795533338,False,0.0,friedman_mse,3,0.9,,,0.0,29,2,0.0,74,,False,,0,False
0.5761092634498801,0.6066900206607453,0.5836096657988796,False,0.0,absolute_error,2,0.8,,,0.05,6,2,0.0,61,,False,,0,False
0.9749109783395236,0.9736686176379632,0.9876267951543157,False,0.0,absolute_error,,0.6,,,0.0,2,2,0.0,245,,False,,0,False
0.947785690542413,0.9523030714042987,0.9589947299108112,True,0.0,squared_error,4,0.6,,,0.0,26,2,0.0,1993,,False,,0,False
0.6464637070576207,0.6612822140014869,0.6434738205510051,False,0.0,absolute_error,3,0.3,,,0.0,4,2,0.0,319,,False,,0,False
0.6317103177949959,0.6726170470603563,0.6556791021866417,False,0.0,friedman_mse,4,0.2,,,0.0,27,3,0.0,679,,False,,0,False
0.7457395982732091,0.7583160817939475,0.7493194091810732,True,0.0,absolute_error,4,sqrt,,,0.0,26,2,0.0,447,,False,,0,False
0.3884324812595611,0.41254005555765394,0.3970794613297901,True,0.0,squared_error,,0.3,,,0.02,9,2,0.0,2904,,False,,0,False
0.7573395782175179,0.7873128203681812,0.7768267657275123,False,0.0,squared_error,3,0.3,,,0.0,4,2,0.0,22,,False,,0,False
0.8752026473278527,0.8855599576404912,0.8834486862744444,True,0.0,absolute_error,,log2,,,0.0,11,2,0.0,49,,False,,0,False
0.8018438031681068,0.8184950674220101,0.8083539386739499,False,0.0,absolute_error,4,sqrt,,,0.0,7,2,0.0,544,,False,,0,False
0.9617789821668379,0.9642912308910228,0.9756066210709594,False,0.0,friedman_mse,3,0.9,,,0.0,1,2,0.0,1121,,False,,0,False
0.6598309550570647,0.6719920251583361,0.6661995621196508,True,0.0,absolute_error,3,sqrt,,,0.0,16,2,0.0,808,,False,,0,False
0.9390595299645779,0.9454606686646584,0.9519414592761811,False,0.0,absolute_error,4,0.6,,,0.0,21,2,0.0,2953,,False,,0,False
