val_accuracy,test_accuracy,train_accuracy,alpha,colsample_bylevel,colsample_bytree,gamma,lambda,learning_rate,max_depth,min_child_weight,n_estimators,subsample
0.7961165048543689,0.7825484764542936,1.0,0.004169549159755737,0.5868914171008107,0.6691543285837254,0.5592267289565859,1.22325198160644,0.001394709203516737,7,23.0,4400,0.6997390281151816
0.7961165048543689,0.8130193905817175,1.0,0.5193770489808427,0.7127184899160048,0.5682548206245951,0.4683630467836628,2.6509769597253787,0.14375856076324067,9,1.0,800,0.5746523488157004
0.7281553398058253,0.7119113573407202,0.7457344985434873,44.376242882502225,0.5015049003629496,0.792071998774964,5.644909989999616e-06,3.8279283348821505,0.011859757112816652,7,45.0,3400,0.8891199166498667
0.7508090614886731,0.7285318559556787,0.7528089887640449,1.432767237383886,0.6400786348315244,0.7358077014217042,5.2737091844849955e-08,1.9983990063967283,0.003791310496212878,2,8.0,1000,0.8925465894127913
0.7443365695792881,0.7063711911357341,0.7149396587598835,0.0024054058805071023,0.9541621719550574,0.5050351249250156,4.5873428994581707e-08,1.1558966196214415,0.0003200002998153623,2,89.0,4400,0.7267709668172417
0.7669902912621359,0.7645429362880887,0.8843112775697045,0.032395694427100635,0.6148191913679888,0.9105741939775394,0.6709299841456012,1.8693010206625646,0.04973807539651217,8,54.0,1600,0.6008339855876347
0.8058252427184466,0.7991689750692521,1.0,0.0017326867726491072,0.8581767183245539,0.6516682366464719,8.869736162221433e-08,2.3703468083944617,0.055986565417543765,10,1.0,1000,0.910303766122309
0.7378640776699029,0.7146814404432132,0.7415730337078652,0.0060392654376778595,0.8067806107228375,0.5652654984231784,0.565369197414738,1.0649313360642976,2.657542279142135e-05,4,4.0,200,0.6739047317511472
0.7864077669902912,0.7936288088642659,0.9758635039533916,4.049347432955245e-07,0.887924846754649,0.6555976772246891,0.008194948340733543,1.829061464823886,0.020431113977597167,4,21.0,2800,0.7173818849499295
0.7313915857605178,0.721606648199446,0.7673741156887224,0.02328703484577224,0.9735727933494223,0.6960084682198246,1.9545627761616414e-06,3.859603247473077,0.0010816410467135572,9,61.0,5400,0.6811090716282497
