val_r2_score,test_r2_score,train_r2_score,objective,base_score,booster,callbacks,colsample_bylevel,colsample_bynode,colsample_bytree,device,early_stopping_rounds,enable_categorical,eval_metric,feature_types,gamma,grow_policy,importance_type,interaction_constraints,learning_rate,max_bin,max_cat_threshold,max_cat_to_onehot,max_delta_step,max_depth,max_leaves,min_child_weight,missing,monotone_constraints,multi_strategy,n_estimators,n_jobs,num_parallel_tree,random_state,reg_alpha,reg_lambda,sampling_method,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,alpha,lambda
0.9887280915406681,0.9958116073409615,0.9998284044217804,reg:squarederror,,,,,,,,,False,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,b'',b''
0.9891696228752349,0.9923983329803024,0.9848609869745638,reg:squarederror,,,,0.8861054841912482,,0.541322190161052,,,False,,,0.2685888002068522,,,,0.0050840799746553,,,,,2,,14.0,,,,5400,16,,,,,,,0.8458433821760669,,,,0.0006128029418768344,2.6466978107531776
0.9921870627704836,0.9967060909865101,0.999806057690459,reg:squarederror,,,,0.7401335800882611,,0.9398592565272753,,,False,,,3.287372647486125e-05,,,,0.15815986359304032,,,,,10,,38.0,,,,2200,16,,,,,,,0.8755588043308258,,,,0.0004307649176543547,1.463045358283812
0.9886575396027455,0.9971847376595541,0.9984989246731691,reg:squarederror,,,,0.6451380969421074,,0.6185798523208919,,,False,,,0.013297050377389649,,,,0.005334210245500299,,,,,9,,2.0,,,,3000,16,,,,,,,0.9168430129203109,,,,6.654305443081163e-05,3.655991114762573
0.9909141817653624,0.9955055854872258,0.9911219653464242,reg:squarederror,,,,0.7065157887087508,,0.9118320352632231,,,False,,,4.169500141526803e-07,,,,0.010655420118648793,,,,,6,,17.0,,,,6000,16,,,,,,,0.5282238340068726,,,,4.272870845019707,3.157789837652969
0.9874924879461134,0.9969948206201051,0.9987630505767813,reg:squarederror,,,,0.6211184705044983,,0.6997503203030915,,,False,,,0.007044768792407411,,,,0.12237061129093432,,,,,6,,1.0,,,,2400,16,,,,,,,0.6138632513647736,,,,0.26289180378048604,1.116354483061185
0.4685570530684342,0.4747023810744745,0.4694437616202424,reg:squarederror,,,,0.8145478765564309,,0.975515958205831,,,False,,,4.5443191801549495e-05,,,,0.00021019020347236658,,,,,10,,49.0,,,,1600,16,,,,,,,0.8308779074724459,,,,1.3186646167814866e-08,1.372906551008989
0.9893105378565105,0.9969297542144905,0.9991782065101437,reg:squarederror,,,,0.6939397699937248,,0.7450731477651251,,,False,,,0.01856918846526983,,,,0.0037211878964990056,,,,,9,,1.0,,,,4800,16,,,,,,,0.6410658417517994,,,,8.941014355350942e-07,1.6398729914723817
0.9883270572244768,0.994871408849103,0.9846060335517425,reg:squarederror,,,,0.615562152875583,,0.9962854372544229,,,False,,,0.0013046332406452562,,,,0.001242189614342065,,,,,3,,35.0,,,,5800,16,,,,,,,0.7849670364835905,,,,0.02957651528246099,1.0579976312977315
0.9897345697119679,0.9946970920302338,0.9993858230829509,reg:squarederror,,,,0.9582205064469176,,0.8072438695356291,,,False,,,0.0008327744380520922,,,,0.6456819875585061,,,,,7,,26.0,,,,1400,16,,,,,,,0.9060430586703803,,,,3.688701757839663e-05,2.972084583616426
0.02746822873878707,0.03252624204070864,0.032250310036035845,reg:squarederror,,,,0.6028116533261076,,0.7079214040954123,,,False,,,0.1441886417700137,,,,9.375342591315068e-05,,,,,4,,2.0,,,,200,16,,,,,,,0.8462697822465031,,,,2.8735634784611544e-07,3.8193410820289926
0.9897693222430454,0.9954608601717898,0.9986619619732668,reg:squarederror,,,,0.8650485788406732,,0.5406192353532863,,,False,,,0.00010361434502723393,,,,0.2717002976357216,,,,,8,,36.0,,,,600,16,,,,,,,0.6484133641831453,,,,2.2059752964536745e-06,1.5696801759176144
0.9883241235270971,0.9961586145033737,0.996958021031517,reg:squarederror,,,,0.6478266569380535,,0.5377420676955347,,,False,,,1.6578789713768126e-07,,,,0.12524933874238914,,,,,10,,2.0,,,,200,16,,,,,,,0.5499793214046207,,,,1.2045795769625571,2.372573149008909
0.10570798540729975,0.11165298513100386,0.10910817568473674,reg:squarederror,,,,0.7586824769903975,,0.7319352550037466,,,False,,,2.152167111287485e-08,,,,7.75057155512273e-05,,,,,10,,9.0,,,,1000,16,,,,,,,0.6006621789575753,,,,62.316871250677934,1.5721097402656106
